,Consumer complaint narrative
2578,"WELLS FARGO HEALTH ADVANTAGE CREDIT CARD On XX/XX/XXXX at approx. XXXX XXXX EST I made a call to pay my bill via phone as I do every month. While on the call there appeared to be numerous stops or delays in the prompts. I gave verbal orders for a payment of {$100.00}, it did not go through. I entered {$100.00}, it did not go through. At this time the prompts were asking to confirm a payment of {$780.00}. I verbalized NO, STOP, Cancel. Thinking this would cancel and I could start over the process them moved to confirmation. Again I said NO, STOP, CANCEL. I should have hung up but the prompt moved into confirming I payed {$780.00}. I DID NOT! That was my whole paycheck. 
I called Wells Fargo Health Advantage at shortly after XXXX XXXX EST. Spoke to a representative who had me on hold shortly and returned citing they can not stop the payment. WHY? The response was "" We can't do that anymore ''. I told the representative that it states it's a recorded line and I did not give authorization to my bank account for {$780.00}. I wanted to pay {$100.00} only. At that time I was told that Wells Fargo will attempt to access my account 3 X. I had to withdraw my money from my bank account so they wouldn't take my whole check. Thus causing overdrafts for funds that were already coming out legitimately. The first hit occurred on XX/XX/XXXX for an amount of - {$32.00} overdraft for Wells Fargo. There was a second attempt to to withdraw from my bank account on XX/XX/XXXX. Why is this okay? I never authorized the first attempt, now 9 days later they are trying again. Resulting in another {$32.00} overdraft. Now I'm just talking about what my bank charged. Wells Fargo felt obliged to help themselves to more charges on their end. I called a second time at this point and spoke with a representative named XXXX. XXXX was not so helpful. At this time I had received another bill stating that I had a balance of {$850.00} and only owed {$27.00}. The representative states that there was a payment of {$850.00}. That may have been possible because the XXXX  office sends back any payments that were not used at the end of treatment. I told the representative the situation and she said they will send out a form for me to fill out for the return of the money I paid since I was only trying to pay {$100.00} but it would take several weeks. I didn't pay them anything from that transaction of XX/XX/XXXX. I pay ahead so there was no money due at the time. Now it's time to pay the bill but nobody can tell me what to pay. Then I got hit a 3rd time on XX/XX/XXXX for another {$32.00} attempt to access my bank account for {$780.00}. WHAT?? This can't be legal! It most certainly is scandalous and corrupt. So today I will make another attempt to work with these people but I'm not sure where it will lead. At any rate this needs to be reported. 

Contact number - XXXX for customer service M_F XXXX - XXXX CT"
2579,"Wells Fargo pressured me into opening a business savings account and then lied that it was a requirement that they also sign me up for a business credit card at the same time. Years later I finally closed said business account, that was two and a half years ago! I get at least one card offer a week from them and they tracked me accross state lines to a state they don't even have a branch in. This week was the final straw, they sent me a business credit card for the account and business that I closed down two and a half years ago."
2581,"This kind of account is placed as a charged off account, be sure to inform me precisely why there's a balance indicating on the document whetherit 's a charge off? The balance is in fact wrong, please make sure to reverseit to XXXX  or remove the item fully. Please also producedocumentation toverify all the charges and credits in this supposed account that caused to theextremely high credit figure you might have displayed on my account. My demand to present these records is a standard information demand in accordance with myrights honored within the fair credit billing act. If you fail to give these detailsper my civil rights petition, please make sure you quickly remove this specificwrong posting."
2587,"Following up on my complaint XXXX Well Fargo Bank sent me a confirmation letter of the CFPB complaint on XX/XX/2019, to my residential address & a letter, dated XX/XX/2019, CONFIRMING the original complaint details. Nothing is in dispute : the facts I put forth are true and correct. 

By confirming that Wells Fargos own Branch was incapable of recording, copying, duplicating my address verification and government identification documents despite THREE SEPARATE  VISITS to the same Wells Fargo branch is not in dispute. It is the reason I have made the request to withdraw the application and destroy the physically-submitted documents. 

Despite my request to withdraw the application and destroy the documents, Wells Fargo engages in an absurd game over whose information they have in their possession. Its again unacceptable. The market has alternatives and my information should not be held given the egregious treatment of said information. 

If its identifiable to ME, Ive requested it be withdrawn. If they can not get their own Wells Fargo employees to make proper copies, all the more reason to not trust them or their process. 

Last, the letter from the Executive Office is signed by a XXXX XXXX? Is XXXX a legitimate last name? To put it politely, use your full name when trying to fix a problem of your own companys failed, defective process. Dont hide behind failure : own it, XXXX XXXX"
2589,"XX/XX/XXXX {$6000.00} payment made on credit card account ending in XXXX -- note : funds to pay off credit line was from a term loan obtained on XX/XX/XXXX by XXXX XXXX XXXX in the primary business bank account XX/XX/XXXX Payment Review Letter sent by Wells Fargo and credit line frozen XX/XX/XXXX Called phone number listed on letter XXXX XXXX XXXX XXXX -- representative told me this was the wrong number. Gave me a new number XXXX XXXX XXXX XXXX XX/XX/XXXX Called new number and spoke with a representative who took 20 minutes to transfer me to their manager. Manager then argued with me for 10 minutes and said they were unaware of the letter and everything was okay. Then put me on hold and hung up after over 30 minutes on phone. 

My account has been legitimately paid in full for over 2 weeks now and my credit line has been frozen for no apparent reason and my time has been wasted. This is ridiculous and XXXX XXXX should go to prison for fraud."
2597,I tried to revoke the authority of a merchant to charge my credit card. After weeks of trying the merchant will not return my calls. As such I called my credit card ( Wells Fargo ) to tell them to revoke the authorization of the merchant to charge my card. Wells Fargo refused to comply and stated that the merchant can charge what they want even without my authorization.
2599,"Wells Fargo through its GoFarRewards Program offered me a promotion whereby I would receive XXXX GoFarReward if I enrolled in the promotion and made a purchase with XXXX XXXX greater than {$100.00}. 

After enrolling online, on XX/XX/2019, I made a purchase with XXXX XXXX for {$100.00}. 

Since then, Wells Fargo has refused to honor the terms and conditions of the promotion stating I never enrolled in the promotion. This is blatantly false and an attempt to not honor the promotion."
2601,"3 years ago Wells Fargo rep recommended to open a secure business credit card to bring up my credit scores, sold as credit repair. Wells Fargo used my {$1000.00}, what was converted to a standard credit card a year and a half later. The problem is just find it out, the business credit is not getting any credit ratings/scores at all. So it is not effecting my credit worthiness.3 years of use of the card for nothing.Finally I picked up on it, something is really wrong because my credit score was barely rising per year, using the card with $ XXXX/month auto pay, a lot more then the {$25.00} minimum payment would have been.Interestingly you can change everything on the WF website, after you log in in the manage accounts, like do transfers between accounts, but to change the amount of the MINIMUM monthly payment is not possible. Actually only Wells Fargo Rep can  change that for us, after you call them on the phone line! You can not adjust your own payments to a higher number, if you liked to! Regardless how the business card is on my name, beyond the name of the business, is used with my social security numbers, you wont get any credit points/ratings for the use of the card.This product is a fraud.First they used my own money for 18 months, and now XXXX   rep said they don't rate credit for business credit cards period.Only the personal accounts getting scored.I asked WF rep on the phone who rates it, and he had no answer for me. Well no one is the right answer.So why Wells Fargo selling the idea first place for the credit repair? It is not repairing a thing.They have secured and other person cash for 18 months for free use .Just like a new saving account for them.They play the market with with my founds for their own benefit. Why not the in house rep advised me correctly to get a personal line of credit card for the promised credit repair? Everyone blames everyone. We to costumers are getting taken for a ride with offer of a fraudulent product/service. If I close this card now it will effect my scores. We are screwed both ways on this deal."
2602,"Account number ending in : XXXX Wells Fargo case number : XXXX Consumer Financial Protection Bureau, case number : XXXX Your response is nothing but a simple dodge. 
The recent credit report provided, has history before XX/XX/XXXX. So, saying the provided credit report is to recent is nothing more than ploy. I wonder what ridiculous excuse you'll come up with next to avoid correcting your mistake. So therefore, I request you ask your Underwriter the exact documentation needed for me to overturn this. So, you and XXXX XXXX XXXX, can stop wasting time. Let me remind you it was your Boss who said Wells Fargo Bank, N.A. Credit Card Services will consider overturning this if I can prove nothing adverse was being reported around the time you did your review. Even though, I have already done that. Attached is a credit report dated XX/XX/XXXX. It's closer to the date you did your review and it also has history prior to the date you did your review, needless to say still pointless. However, you'll find that all adverse accounts are closed and that all closed adverse accounts are dated closed in XXXX ; and nothing adverse reported leading up to or in the month of your stated XX/XX/XXXX review. So again you'll find that nothing adverse was reported in order for you to reduce my credit line. So clearly something else is going on. 
Moreover, you failed to answers my questions in the last CFPB complaint. So I will itemize those questions so you can focus on what needs to be addressed : 1. Where is the adverse information on my credit report that lead you to your decision?

2. How did I pass all other previous reviews? 
My whole argument is, you have/there is no "" information previously reviewed, '' in XX/XX/XXXX. I have proven this doesn't exists. Sadly Wells Fargo Bank, N.A. is protecting the real reason for their decision to reduce my credit line. By saying its proprietary information. Question? How am I suppose to correct or refute the information you say you have if you won't share the information. Furthermore, I have proven that there was no adverse action prior to your XX/XX/XXXX review. 
So sticking to your decision as a reply puts this in an never ending refusal that I can't overcome nor be a party too. 
Waiting on me to correct information you have, that really doesn't exists seems convenient for Wells Fargo Bank, N. A. to do what ever they want to anyone that may pose a red flag according to your policies on credit card activity. 
That being said, your reasons for reducing my credit line has nothing to do with my credit history, and everything to do with protecting Wells Fargo Bank, N.A. Credit Card Services internal policies by giving the consumer a false narrative. 
This conduct is likely unlawful."
2603,"First, let me begin by stating that my husband and I have no credit cards since we recently got out of debt. So, I find it odd that all of a sudden, two credit card accounts were opened in my name. Also, the online transfer of {$2500.00} from our savings to checking accout wasn't noticed quickly since the next day, an amount very similar, {$2400.00}, was debited from our checking account to pay a company in XXXX. 

I feel my identity has been "" stolen '' because in XXXX, I went to change my last name on my social securtiy card. They apparently mailed me a new card, but I have yet to receive it. I feel that my card with my social security number was taken or it got into the wrong hands. How else has someone found out enough of our information to do the following : XX/XX/19 : My identity was used to open a credit card account with XXXX XXXX Visa for an XXXX Product in the amount of {$1500.00}. The XXXX  statements shows 2 months of late payments but this is still in dispute. I have paid NOTHIHG to this account since I did not open it. As of XX/XX/19, this is in dispute. 

XX/XX/19 : Online transfer from my Wells Fargo savings account to my checking account in the amount of {$2500.00}. 
XX/XX/19 : My debit card was was charged {$2400.00} on my temporary card I had been given by Wells Fargo due to a previous frauduent charge on my former debit card. This charge of {$2400.00} was made to a company called XXXX in XXXX, XXXX. I live in XXXX, TX, USA. 
XX/XX/19 : Wells Fargo applied an online transfer credit reversal and temporarily credited my account {$2500.00} until they further investigated the charges. 
XX/XX/19 : Wells Fargo sent a letter which stated after research of my inquiry, they found the charges were made my me or someone who had my permission. They discussed this issue with parkbench.com and came to a conclusion without even speaking with me further. As a result, {$2400.00} was decucted on XX/XX/19. 
XX/XX/19 : I visit a WF Branch store and spoke to XXXX XXXX, who has been incredibly helpful, and she spoke with XXXX who refuses to refund my money. Then she called a WF representative in the Claims Assistance Center, and asked for WF to send all the proof on which they made their decision on. I was supposed to get it within 10 days, which would be on XX/XX/19. I have yet to receive this information, and it's XX/XX/19!!! 
XX/XX/19 : THEN, a HUGE MISTAKE made by Wells Fargo, for some reason the withdrew another {$2400.00} from our checking account! 
XX/XX/19 : I personally re-visited a Wells Fargo branch store, and spoke again to their employee, XXXX XXXX, and I showed her my bank account proving they withdrew an extra {$2400.00}, and once again disputed BOTH withdrawals. A few days later, they did credity my account with the extra {$2400.00} they had taken. I believe they owe us as well for the overdraft fees which we incurred because of their mistake. I also told her I hadn't received the proof that WF Claims Assistance said they'd mail in 10 days. 

XX/XX/19 : Another instance of my identity used to open a XXXX XXXX XXXX credit card account in the amount of about {$75.00}. The statement on XXXX  shows it's been paid, but I haven't paid anything for this since I did not open this account. It's in dispute as of XX/XX/19. 

I have filed a police report with the XXXX Police Department and I have put a fraud alert on my credit through XXXX, XXXX, and XXXX. I have closed both our former checking and savings accounts and opened new accounts. I have also ordered new checks with new accout numbers on them. 

I would appreciate any help I can get on this matter. I also showed two open accounts on my XXXX report to show that we have always paid on time. I didn't even know that I hadn't closed these 2 accouts ... XXXX XXXX XXXX and XXXX XXXX. 

Thank you."
2605,"I have a Wells Fargo credit card for more than 20 years now. I have not been using for many years and paid on the balance timely for all those years automatically from my checking account. instead of going down somehow my balance kept creeping up. that was not enough for Wells Fargo. they decided to rip me off by abruptly stopping taking automatic min payments and starting to charge me penalty APR and astronomical fees. I never received any calls or letters from them for months and I had no idea that they closed my Wells Fargo account and destroyed my credit report. I did NOT discontinue my automatic min payment, THEY are the ones that stopped taking the payments and posting them to my account. Most of my balance if not all on the Wells Fargo account are their bogus fees and 30+ % interest, my principle bal was probably just a few hundred $ $ if any at all. I tried to negotiate the acc or settle it but I could not get anywhere with Wells Fargo, it 's : pay what we want or XXXX, only threats and harassment. please help me to resolve this."
2606,"On or about X/XX/2017, I reported five credit card fraud transactions to Wells Fargo Bank totaling approximately {$4000.00}. I stepped into a XXXX XXXX and reported the fraud. All but two transactions were removed. Those two transactions, totaling {$790.00} were posted to my new card. It was subsequently determined that there was a breach in the Wells Fargo security and the bank determined I suffered from an account takeover. I reported again that these two transactions were fraud. The bank started an investigation and indicated that they determined they were legitimate transactions. I faxed a request for them to reconsider their decision and they reopened an investigation. In the meantime, I contacted the Wells Fargo fraud department and we determined that a "" fraudulent '' fraud report was generated at the XXXX XXXX branch on X/XX/2017. The fraud report contained "" fake '' fraud disputes of transactions of {$10.00} or less since XXXX 2017. These were legitimate charges. This is useful since I made credit card payments "" validating '' these fake fraud disputes since XX/XX/XXXX. When the real fraud dispute occurred in XX/XX/XXXX, I had made no payment since XX/XX/XXXX ; however,  the history of making payment against "" fraudulent '' fraud claims made the bank rule against me and forced me to honor the large transactions.The bank employee that filed the "" fraudulent '' fraud report no longer works there. I believe she was part of the scam ( knowing the bank business rules about paying on disputed claims ) and Wells Fargo know this and wants to cover up by sticking me with the bill. Wells Fargo has refused to provide a copy of the fake fraud report generated on X/XX/2017. They also indicated in their rejection letter that no new information was made available. This is not true since we determined that fraud claims on transaction prior to X/XX/2017 were fake."
2607,"Wellsfargo Bank Consumer Bankrupcy Team is failing to report to all 3 credit bureau XXXX XXXX XXXX XXXX when my credit card account number XXXX endinging in XXXX for the credit card amount XXXX was discharge in Chapter XXXX Bankrupcy by the United States Bankrupcy Courts on XX/XX/2019 when they received the notice of the order of the Discharge notice showing that the credit card account number XXXX was paid off in Chapter XXXX Bankrupcy and Discharge by the Bankrupcy Courts. 
And reporting it as late payment and close account when is suppose to be noted as Paid and Discharge in Chapter XXXX Bankrupcy by the United States Bankrupcy Courts when they sent them the order of the Chapter XXXX Discharge notice showing that this credit card account was discharge in Chapter XXXX Bankrupcy and was Discharge on XX/XX/2019"
2614,"My credit card issuer, Wells Fargo Bank, assessed with an APR interest rate hike beginning in my XXXX of 2016 from a 9.490 % to a 28.740 %. This rate hike was a direct result of their Call Center staff incorrectly setting up an auto-payment which was to continue for 3 months while I was traveling internationally. In working with my the local Wells Fargo Banking Representative, a member of their XXXX XXXX XXXX ( XXXX ) and a member of their Small Business Lending Operations staff they corrected problem with three additional, but unrelated, accounts. I 've attempted to follow up for several months ( and have supporting documentation to include statements and emails if necessary ) regarding the status of this specific account but never received any resolution or a complete response. In contacting them today to follow up with this issue they insisted that "" they '' did, in fact, correct the issue but the account was delinquent. I informed them that I received no such notification and I then I proceeded to go through each invoice and read the interest rate and fee reversals to demonstrate the requests were incomplete. After that the representative informed me that they were not able to provide an alternative and advised me to contact the VP for the Small Business Lending Division ( XXXX XXXX ) but unfortunately I have yet to see any resolution."
2615,"The Wells Fargo credit card division is completely inept and is unable to accommodate a simple request. The retail banking division was provided a statutory durable power of attorney a week ago which was approved by their legal department to allow me to move funds from a family member 's account who is mentally ill. I have also advised to close a credit account, as well as debit card accounts and the credit card division, including their Executive office representative, is unable or unwilling to simply call the retail banking division 's Legal office to confirm receipt of the power of attorney in order to close the account. The account holder is in a dire condition and by not closing the account and continuing to allow access, Wells Fargo may be creating a dangerous welfare situation for the account holder. This is completely unacceptable. The individuals which were contacted are as follows : 1. XXXX - Customer Service 2. XXXX - Customer Advocacy 3. XXXX - Executive Office."
2616,I see multiple 30-60 days late marks which is a clear violation of my right under the FCRA. The company has never responded to any of my attempts to obtain any proof or documentation that will prove this account is being reported accurately.
2618,"On XX/XX/2021 I received a notice of suspicious activity on my card. Someone had spent {$950.00} at an online sportsbook called "" XXXX XXXX XXXX '' This charge also came with an {$47.00} cash advance fee. So a total of {$990.00} was debited from my account. 

I called Wells Fargo to dispute the charge. While on the phone with the agent the Wells Fargo agent called a number associated with "" XXXX XXXX XXXXXXXX '' and the sports book admitted they had suffered a breach and my charge was fraud. 

I was told the charge would be refunded within 5-7 days. I reminded then to include the {$47.00} cash advance fee. 

The fraud charge was never resolved. It remained on my account for months. I called continuously ( at least 6 times ) and each time I was promised that the charge would be removed in 5-7 days. 

I started getting late fees and interest charges. Each time I called the representative would refund the late fees but this still hurt my credit. 

Finally, in late XXXX the {$950.00} charge was resolved. However, as I suspected, they did not remove the {$47.00} and charged me another late fee. 

I chatted with an agent but she said she could only refund {$20.00} because of chat agent rules. I have tried calling again, but the wait is always over 45 minutes and I eventually get disconnected before reaching anyone."
2620,"In XX/XX/XXXX I informed Wells Fargo that I was hospitalized at XXXX  XXXX in XXXX. 2 days later Hurricane Harvey hit. I made partial payments as promised. They closed my account XX/XX/XXXX and even attempted to collect from my savings account causing that account to be closed. Now Ive been hit by Hurricane Nate at my own residence. I have tried to discuss this but to no avail, I keep getting transferred and spoke to 3 different people who could not help me on my last phone call. A similar thing happened to me with Wells Fargo on my business account. I was a victim of fraud-it took the bank longer than 30 days to investigate and they closed my account, although it was shown that I was indeed a victim of fraud. Not to mention, my account has been compromised so many times and I am the victim. Wells Fargo has been my bank since aroundXX/XX/XXXXand loyalty to customers obviously mean nothing to them. I have been harmed by their actions and was just notified tonight via email and online message that my accounts were closed. This is unfair and unscrupulous. I am a military spouse as well and this should never happen to a customer. Then they refuse still to work with me while Im experience such traumatic losses."
2627,"In XX/XX/2019, I purchased the a computer from XXXX, and they kept on delaying their shipping, due to numerous excuses, such as weather condition. After a long-time waiting, they suddenly claimed that they had delivered the package for me, although I did not receive any shipping information email from them. Since I never received any package, I had been contacting XXXX and the carrier for over 4 times, and all I got was they were trying to push the responsibility to each other. Then I disputed this transaction with my card issuer, and they called me on XX/XX/2019, indicating that they had received important information regarding to my dispute from XXXX, which was nothing but simply the delivery confirmation of my package, as the one I got from XXXX and the carrier before, and closed my case according, with nothing else they can do. Apparently, such result is totally unfair and unacceptable : 1. XXXX could simple send an empty package with a brick in, and claimed that it had been delivered.

2. I did not sign my package. According to the signature, it was signed by somebody else, but not me.

3. If the package was lost, it should be the seller, XXXX who need to take the responsibility to negotiate with their contacted carrier about the loss or their insurance company if they do have extra one otherwise."
2628,"*Below description. Also see attached supporting docs, please* I went to XXXX XXXX XXXX in XXXX XXXX NJ on XX/XX/21 around the times of XXXX with my girlfriend. I might have had my credit card on the bar next to the running tab when I was ready to pay. When I went to close out my tab, the bartenders told me that the man across the bar took care of our tab so I didn't use my credit card. I only gave the bartenders a {$20.00} cash as tip. When I looked at my statement the next month, it had {$300.00} charge from the XXXX XXXX for that same day. 

I opened up a claim with my bank, Wells Fargo. After an investigation, Wells Fargo said the charge was authorized because the EMV Chip was used. I said that the charge wasn't authorized by me and reopened the case, giving them more info- I had my card out on the bar when i was ready to pay, which I hadn't told them before. After a second investigation, Wells Fargo came to the same conclusion. I opened the case again because I definitely didn't authorize this purchase and am still trying to get this money back. 

I had contacted the XXXX XXXX in the meantime to get any evidence that I could. They said they no longer had anything like a picture of the signature or any other evidence because it happened over a month ago and they didn't keep records for that long. Police report was also filed with all this info and sent to Wells Fargo."
2629,"on XX/XX/2019 I made a cash advance from a WELLS FARGO credit card to a WELLS FARGO checking account. I also have a large sum in my retirement accounts at WELLS FARGO. They charged me a fee of {$500.00} for this transaction that is in addition to the high interest rate they will charge monthly, and the interest charge I accept. l think this is such poor customer service and I feel practically like I have been scammed. I am sure there was some small print which I did not understand to be In Addition to the monthly interest charge. Also, in past months I felt I May be one of the names used for a fake account by them but strangely I could not access that information or add my name, for reasons I did not understand. I called customer service when I saw the charge of XXXX added to my balance and a supervisor ( XXXX ) says basically.. too bad, so sad, can not help you. No assistance was given. The main reason for my aggravation is that this transaction was all made within the same financial organization, Wells Fargo, I feel that this charge is excessive, that I was not properly informed, and an example of taking advantage of customers."
2631,"The problem I have was n't listed, so I choose what I thought to be the closest. My account was paid up, XXXX balance. I made the mistake of not deleting Wells Fargo from my payment calendar and on XX/XX/XXXX made a XXXX payment. When I realized the account had been paid off, I called my credit union to stop the payment but it had already been sent to Wells Fargo. I called Wells Fargo and they said they had n't received it but when they did, it would be credited back to my credit union account, in 5-10 days. On XX/XX/XXXX I still had n't received a credit to my credit union account, so I called WF again and spoke to XXXX in cust service. She said on the day I initally called, they had system problems and the transaction had not been processed and she would submit again. Check would be mailed, account not credited, in 7-10 days, by XX/XX/XXXX. On XX/XX/XXXX I called WF again because I had not received a check. I was told it had not been completely processed but as soon as it happened, the check would be mailed. I asked the man when the processing would be complete and he said he could n't give me a time frame. On XX/XX/XXXX I called again and asked to speak with a supervisor. I was connected to XXXX. He said a check for XXXX was sent to me on XX/XX/XXXX. I told him I never received a check and had no idea where the extra XXXX came from. He said an affidavit would be sent out in the next three days fo me to sign, saying I had n't received a check. Upon sending affidavit back, a check would be issued in 7-10 days. Address was confirmed. Today, XX/XX/XXXX, I called back since I have n't received anything. Asked for a manager and was connected to XXXX. He said no affidavit would be issues for anything under XXXX and that a check had been sent to me and cashed on XX/XX/XXXX for XXXX. He said there was nothing he could do since there was a check cashed and he could n't verify I had n't cashed it. I went back to look at all my deposits from XX/XX/XXXX though today and there is n't a deposit for XXXX, XXXX or from anything other than my pension, SS, deposits from my kids when I babysit my grandkids or when I transfer to checking from savings account. He insinuated I could have cashed the check, for cash and just 'forgot '. I told him if I had done that, I certainly would n't be going through all this for XXXX and informed him I was going to file with FTC. He then connected me to the Executive Office. I spoke with XXXX who has created a case with their investigation dept. Case # XXXX. Agents name is XXXX XXXX. She is suppose to contact me in 4-5 business days."
2633,"I have been banking with Wells Fargo for over 10 years. I signed up for the XXXX XXXX card in XXXX 2017 with a signup bonus of {$200.00} back after $ XXXX spend in 3 months by clicking on an ad, and got confirmation from their credit card department via phone call that I am eligible for this bonus. I met the limit and months have passed without this bonus being posted. I called again and sent a message and they are now saying they do n't see that I am qualified and are not making an effort to help fix this. 

This offer has been around for a long time and is still being advertised online. I have never had issues with my bank balance nor do I have any credit issues. I have absolutely no idea why they would renege on the offer for just me, a loyal customer for over a decade."
2634,"This is regarding my Wells Fargo credit card account that was fraudulently used from approximately XXXX till XX/XX/XXXX. When I found out about the fraudulent charges, I had filed a claim with Wells Fargo, but the claim was denied due to the following reasons : 1. I have made multiple payments over the course of the few months while the fraudulent activity was ongoing. 
2. I have stated that my wife has dealt with this merchant before in the past. 
3. I have dealt with this merchant in the past on another Wells Fargo account associated with me. 

These transactions are NOT made by me, nor my wife, nor anyone authorized by me. 
XXXX / XXXX is a very big company, that does businesses in many areas, including online shopping, mobile wallet payment service, food delivery service, grocery delivery, etc.. They are somewhat like the XXXX, particularly XXXX, equivalent of XXXX / XXXX, so it is not surprising for anyone that has lived in XXXX, or XXXX in general, to have shopped there before. Please refer to my attached documents for the list of transactions and also my appeal letter as well. 

I was initially under the impression that these purchases could have been made by my wife, as she was in XXXX during some of the months in XXXX, and therefore it isnt out of the ordinary to assume so, based on the fact of how prevalent this merchant is in XXXX, and also due to the fact that she had shopped at this merchant before. As such, Ive made many payments to the card throughout the months, and did not report these transactions as fraudulent. 

The rationale behind making so many payments are mostly due to 2 reasons : My 0 % APR period is over, so I often make multiple payments to cards that do charge interests, which includes my Wells Fargo cards. Payments to credit cards are often made whenever I have readily available excess funds, either from deposits or from income, etc. My XXXX credit cards also had over 10-20 payments made within a month sometimes. The reasoning is to pay down the cards whenever possible, to reduce both balance and also interest fees. 

Also, sometimes the card seemed to be maxed out, and because I assumed the card was being used by my wife, I made additional payments to increase available credit, so that she can use the card and make additional charges, if the need arises. 

However, as I was going through our statements with my wife, I eventually found out that these transactions are NOT done by her. She did NOT use my Wells Fargo card for any of her shopping on XXXX / XXXX / XXXX. She had been using her own personal XXXX credit card for any transactions related to this merchant. 

These transactions are NOT made on my wifes XXXX account either. If you would like, I can provide you with the username and password where you can login to the account to verify if we had made those purchases. I personally do NOT have a XXXX account myself. 

As such, these transactions are NOT carried out by me, nor my wife, nor anyone authorized by me. To reiterate, I did NOT authorize anyone to carry out these transactions, nor do I know who carried out these transactions, nor did I do these transactions. I nor my wife, have NOT received any benefits, directly or indirectly, from these transactions as well. 

On top of that, I have tried to file a police report with the XXXX Police Department. However, because I am currently overseas, I am unable to do so as they require police reports with regards to such matters be made in person at the police station. I will however, be making the report in person at the XXXX Police Department once I do return back to the U.S.. Alternatively, if this would be ok, I can also file a police report in XXXX as well, as this is where I am right now. 

In my opinion, it is unfair to deny my claim simply because we had dealt with this merchant before. As an example for illustrative purposes, Ive dealt with XXXX, XXXX, XXXX XXXX, and XXXX before as well. Does this mean that I am going to be responsible for any and every fraudulent activity that occurs at any of the above mentioned merchants simply because Ive shopped there and dealt with them before? Does this mean that I am only covered for fraudulent activity that occurred with merchants that I have never dealt with in the past? 

And because my wife had shopped at this merchant before, and being that we were in XXXX during parts of XXXX, and my wife was also in XXXX on her own without me during parts of XXXX, where this merchant pretty much dominates the whole online shopping market, it isnt out of the ordinary for me to think that the transactions were done by my wife. And also due to the fact that we have been traveling for an extended period of time in XXXX, I did not have as much free time to sit down and review my statements with my wife until we could finally have some free time to sit together and review everything. 

Our contacts thus far to this merchant has not been of any use. After speaking to a Wells Fargo representative on XXXX XX/XX/XXXX, I had attempted to contact the merchant again. My wife had tried contacting the merchant as well. This is a summary of my contacts with the merchant : Merchant has not been able to help much at all, if any. 
Merchant is a huge company, so during my attempts to contact them, Ive been transferred around to several different departments who kept saying that another department is in charge of such issues, such as the international department should be the department in charge of the account, and then someone else would tell us that instead of them, we should be talking finance department, etc. etc. In summary, each attempt to contact them has wasted a lot of time and effort to reach the correct department that is supposed to be able to or willing to help. 
Merchant has refused to disclose / been unable to disclose any particulars of the charges, including the address where the orders were shipped to, email address associated with the orders, etc. 
Merchant recommended that I contact my bank instead. 

I hope that Wells Fargo can investigate these transactions and come up with a fair conclusion. It is extremely unfair to put the burden of these transactions on me simply because my wife had shopped at this merchant in the past. While I understand that I should have realized and reported the fraud much earlier, and that certainly would have made things much easier and better, however I was traveling extensively at that time and didnt have a good opportunity to sit down and review things with my wife. 

If you need to reach me, please kindly reach me at XXXX, or through email at XXXX. I am still currently traveling overseas, so I am unable to receive any physical mail correspondence."
2638,"On XXXX/XXXX/XXXX I was approved for the Wells Fargo Visa Signature card. The card came with 2 bonus offers : 1. XXXX points ( worth {$200.00} in statement credit ) after spending {$1000.00} within the first 3 months. 2. 5x points on gas, grocery, drugstore net purchases for 6 months I successfully completed the first offer XXXX XXXX points XXXX by my XXXX/XXXX/XXXX statement on which it showed a balance of {$4500.00}. I continued to take advantage of the remaining offer of 5x points by making purchases at grocery stores. On XXXX/XXXX/XXXX I logged onto the WF mobile app after having a transaction declined to find that my account had been closed by Wells Fargo. At that time of closure I had XXXX points pending on my account equivalent to {$160.00} in statement credit and had yet to be rewarded for successfully completing the first bonus offer ( XXXX points ). Thus, I had XXXX in pending rewards that I had earned while the card was open. When I called the WF Executive Office on XXXX at XXXX EST the representative noted my account was closed for rewards abuse. WF misled me by indicating that rewards would be earned in the amount of 5x for all purchases made at grocery, gas, or drugstores for the first 6 months. WF never indicated a cap on rewards or that spending more than they deem acceptable would result in account closure. I never spent more than my credit limit and made on-time payments. I feel that I was misled and treated unfairly."
2647,"I opened a Wells Fargo business credit card online in XXXX. Their credit card has 1.5 % cash back in every transaction. I spent XXXX on the credit card I should get XXXX dollars cash back but I didnt get any of it. I called Wellsfargo customer service many times. They said I didnt enrolled it. Its too late. What? 
This is the first time I heard that I should enroll the cash back by myself manually after I got approved on their credit card without any notice or call me let me know. So I called them they just declined it."
