,Consumer complaint narrative
1287,"I used XXXX through my Wells Fargo account to pay a person with an account at XXXX XXXX. This person using their XXXX account committed fraud and stole {$200.00} from me. 

My complaint is against Wells Fargo, XXXX and XXXX XXXX. Wells Fargo and XXXX own XXXX. 

My case is EXACTLY as those described in the recent XXXX XXXX article on XXXX and their significant issues with fraud. XXXX  : XXXX On the night of XX/XX/2018, I sent money to a person advertising concert tickets on XXXX. I paid them {$200.00} through XXXX on the Wells Fargo website. The person I paid had a XXXX account linked to their XXXX account. The tickets were counterfeit. 

I immediately called Wells Fargo. The Wells Fargo website listed the transaction as "" Pending. '' The Wells Fargo representative said that is incorrect ; the transaction was instant and nothing can be done. The WF representative then told me the XXXX account which had committed the fraud was linked to a XXXX XXXX account. The email associated with the XXXX account at XXXX is XXXX I have called Wells Fargo, XXXX and XXXX. They refuse to explore or investigate this case of fraud. Wells Fargo and XXXX say it is XXXX 's responsibility, XXXX says it is the bank 's. The joke is the banks own XXXX. None of them have any interest in resolving this issue. NONE OF THE COMPANIES HAVE A MEANS TO FILE A DISPUTE, COMPLAINT OR FRAUD. How can that be? 

XXXX and it's owners, Wells Fargo and XXXX have repeatedly told the press they will do everything they can to help reduce this significant fraud problem. Yet all three have systematic procedures that prevent just that. 

XXXX XXXX XXXX XXXX XXXX"
1288,"I used Wellsfargo  XXXX  to send money to my mother. I wrote her name and typed in a phone number to transfer the money. Turns out the name and number did n't match, because there was a typo in the phone number. The money was still sent. I immediately called them right after the transfer before it even completed. They waited two weeks before giving me a resolution and just told me according to their research the funds are now gone, and even though the name and the phone number did n't match Wellsfargo still transferred the funds and there is n't anything they can do about it, unless the person voluntary gives it back???
Institution : Wellsfargo Application :  XXXX  Amount : {$500.00} Transfer :   XXXX   XXXX  , 2017 Action :   XXXX   XXXX   2017 - opened claim   XXXX   XXXX  , 2017 - reopened claim Spoke to a banker, he 's trying to file another claim to the internal resolution team and advocate for me I forced them to reopen the claim after they closed it, when they told me they tried "" calling '' the other financial institution and that was it. Even if I was take this person to small claims, Wellsfargo will not provide me with documentation of the information of where the money was transfer to so I can take the person to court. So long story, short they are leaving me high and dry. They told me to handle it myself but even then they are not providing me with much information to handle the situation myself.
The general attitude was tough luck to me. I have a personal banker that I encounter that is trying to advocate for me but it seems bleak. I do n't know why they sent my money even if the number did n't MATCH THE NAME!"
1292,XX/XX/19 I sent {$250.00} via XXXX through wellsfargo and within 5 mins I realized it was a scam and called Wells Fargo to stop the transaction. They opened a case and told me they would investigate and sent me a letter that theres nothing they could do.
1293,"My mother 's phone number was linked to two different Wells Fargo bank accounts. One account was my mother 's and the was a different WF consumer ). This should never have happened or we should have been made aware of this after updating the phone number in WF app ).

THE PROBLEM : I transferred {$120.00} from my WF checking account into my mother 's WF checking account, on XX/XX/2018 using her phone number and XXXX. The money went into the other consumer 's WF account because ; according to the Fraud Representative, "" The system was possibly stumped and did not know which account ( phone number ) to deposit the funds, but this was obviously a glitch in the software that should've never happened. '' I have filed multiple claims and made several calls with WF as follows : 1 ) XX/XX/XXXX Initial complaint-I was referred to XXXX Customer service and told WF has nothing to do with 3rd party apps ( that they sponsor ) XXXX 's voice prompt referred back to WF.

2 ) XXXXInitial Fraud claim - XXXX/Ref XXXX. Results - I was told this was not fraud because I mistakenly sent to other consumer. Customer service rep did not capture my complaint accurately. After explaining, I was told the info was totally incorrect, updated, and resent for investigation with up to 10 days for results. 
3. ) Second claim ( XXXX ) - After hearing from no one, I called to follow up on claim status. I was provided the same script for the initial denial reasons and was told there was no update provided and no case was being invested. Open ed second claim - XXXX or XXXX ( provided the latter in a later conversation with customer service rep ). During this call the Fraud Representative "" dug deep '' in gathering information, acknowledged this would be fraud because 1. he wasn't expecting money, and 2. It was not in his name. Results:1 ) Claim opened 2 ) accounts linked for investigator 3 ) A pledge was placed on other consumer 's account 4. ) I was told I should hear something in few days and call back if not.

3 ) Third claim - XXXX - Called WF to follow up with claim, as suggested. Again, Customer service read me the initial denial script for XX/XX/XXXX claim ). After a little back and forth, I was transferred to the Fraud department. I was told claim denied bc of "" previous transactions. '' being good. At this time, I asked to be transferred to higher management. Call dropped. 
4 ) XXXX Called back. I was transferred to multiple departments before I was finally asked to file a Money movement claim bc of the phone number issue on WF side. 
5 ) XXXX XXXX - XXXX XXXX XXXX. File claim. When Rep ws reading back my issue, he said, "" XXXX app used and funds were sent to wrong number ). '' NOT AGAIN?! I re explained this was not the case. I had the correct number but it was linked to 2 accounts, by no fault of my own. Results : I received a call from XXXX XXXX XXXX and he told me to request money back from other consumer cause there was nothing WF could do because I used XXXX. He did give me another option of suing other consumer for money in Civil court. I AGAIN explained the situation. XXXX said he made notes to the claim and would continue to monitor the situation. 
6 ) I have no faith. I called WF to get an update XXXX. Surprise- I was read the same script from the initial denial. I immediately asked for the Fraud dept. Who told me nothing was decided in the second claim that they had 13 days. I aprised XXXX of the information that I had before she placed me on hold to "" look further. '' She referred me back to XXXX in XXXX XXXX. Call dropped. 
7 ) XXXX I called Customer Service and was on hold for an hour and 13 minutes, while XXXX attempted to connect me to XXXX XXXX, before he came back and told me it was the end of the day and they were possibly gone but he would send an email, on my behalf, for XXXX to call me back. 
There was 1Fraud Representative that did her due diligence to review the information, WF seems to show no interest in my concerns. In an effort to 'pass the blame ' and be done. WF seems to want to make this about "" using a third party app, XXXX '' and not take responsibility for the mistakes made on their end, by their system. The issue began at home-WF Online Banking. Why is WF accountable? 
1. ) My mom 's phone number should not have been linked to any other person 's account. With the rise in technology, money apps will be used more and more by consumer, like me. Email addresses and phone numbers are critical as they are the gateway to transactions in and out of banking transactions. When my mom ( or anyone ) updated her account with a new phone number and/ or email address, safeguards should have been in place to make sure NO ONE else 's private, personal account information was linked to it. I was told, by customer service, there are such safeguards - I guess this was a "" one off. '' 2. ) A deposit in my mother 's name, should not have cleared to someone else 's account.

3. ) Since all ( 3 ) are WF accounts ( verified and located ), why is it such a hassle for WF to send me my money back, when the Fraud Dept. already confirmed/identified the flaw in WF software ( 2 accounts / 1 phone number ) and allegedly linked all accounts in their system.

The Fraud Representative stated the person investigating could easily identify the obvious "" glitch '' and I should have my money back soon. Allegedly, a "" pledge '' was placed for the monies that were incorrectly deposited into the other person 's account ( which Fraud was able to located/verify based in the name from XXXX app that I provided and number ), because my mom 's name did show on the deposit and the ststem glitch. So, where is my money? 
Note : I was told the fraud claim was closed because the investigation showed no problems with "" previous monthly transactions '' sent via XXXX media, to my mom 's account. This makes me question how much effort was put into this "" investigation? '' This should have at least raised the question, What changed? 
Did the investigator completely overlook the relevant information allegedly provided by the Fraud Representative ( i.e., the linked accounts, the 2 accounts / 1 number, the phone number updated to mom 's account and date, or the name on the transaction )?

After two unsuccessful fraud claims, I submitted a money movement claim and still no results. I would like WF to return my {$120.00} from this other consumer 's WF account ( identified ). There was nothing done incorrectly with the XXXX app. ( as mentioned, I used several times prior ). This was an error with 2 accounts linked to same phone number in WF system."
1294,Wells Fargo account has been updated account numbers and overdraft fees over and over also payments are not being paid on time so credit card limit has been decreased for that XXXX XXXX account was not paid on time
1295,I sent {$150.00} by logging in to my wells fargo app via XXXX I am a first time XXXX user I submitted the payment to the wrong email address due to adding a zero it was sent to someone with a wells fargo account instead of going to a XXXX account I called Wells Fargo immediately and was told to wait 48 hrs i have went inside the branch 3 times requesting help and all they say is for me to contact the person of whom i dont know and all they say is they see my funds in someone wells fargo accounts today i called and a rep says XXXX is like a lottery and i gave free money to a unknown person..I could see if i have used this service before then I should be savvy in transferring funds but I dont have a clue and my financial institutions is not FDIC my funds or going to bat for me and its all internally im at a lost for words I will never use this application again XXXX XXXX offers its user better help than wells fargo please help thank you in advance
1296,"On XX/XX/XXXX, I carried out a wire transfer from a personal brokerage account at XXXX for the amount of {$41000.00}. 

The wire 's anticipated path would be to first credit an intermediary bank XXXX Wells Fargo XXXX before reaching the final destination of another personal brokerage account I hold with XXXX XXXX. 

However, that same day, after waiting longer than usual, I contacted XXXX to confirm that this transfer had been placed. I was given a fed reference number and was told that the transaction had been successfully completed with acceptance of funds by Wells Fargo. 

Next, I contacted XXXX XXXX who had not been notified by Wells Fargo of any wires in the amount of {$41000.00} that were in the account. After a day went by, it became clear that I was headed down the path of Wells Fargo 's deceptive practices, and would experience a a 2 week long run around from party to party to figure out where the funds were. Several recalls for wire were requested, and several calls were made by myself and XXXX to Wells Fargo to understand what would need to be done to rectify the issue. 

Later it was found that the wire instructions I wrote may have caused the disruption, as the final destination account number and the account number at Wells Fargo had apparently been incorrectly swapped on the wire instructions. Normally, wires with unclear instructions would be either totally rejected, and at worse, placed into someone else 's account if this error had been made on the instructions. Neither were the case here. Wells Fargo somehow managed to accept the funds without placing it into the account that XXXX XXXX holds with them ( I correctly included the 10 digit account number provided ). To be clear, Wells Fargo likely hadn't be able to place it into someone else 's account with a XXXX XXXX 9 digit account number that was also provided ( if even in the wrong section ). Instead of rejecting the wire, Wells Fargo continued to hold {$41000.00} without crediting an account that would allow it to be identified, and did not respond to 2 recalls of the wire placed on XX/XX/XXXX and XX/XX/XXXX. This caused me significant personal anguish as it is my total savings amidst lingering unemployment due to the pandemic. 

Wells Fargo refuses to speak with me about the matter because I am not the account holder. And just today XXXX XX/XX/XXXX XXXX, I was able to compel XXXX XXXX ( Wells Fargo account holder ) to investigate the issue further. XXXX XXXX had initially been reluctant to get involved because they had no record that the wire had ever been sent in the first place ( ie not showing in Wells Fargo account ). Regardless, Wells Fargo did respond to communication from XXXX XXXX and confirmed that the funds were sent and that my options were to "" either have the sender place a recall or amend the wire ''. This haphazard response was provided despite XXXX having sent 2 separate wire recalls in the weeks prior. Also note that XXXX XXXX had been able to get detailed information from Wells Fargo about the wire despite Wells Fargo not having officially placed the funds into XXXX XXXX 's account. 

Today makes 2 weeks since the wire had been placed. Wells Fargo appears to be holding the funds hostage with the hope that I will eventually give up on having them returned or to create an unnecessary service delay that would confer a lengthy period of investing the funds for their own gain. I've worked in finance and it is unacceptable and even scammy to accept wires with instructions that make it difficult to place. It appears that they instead accepted it based on the correct information being provided ( ie. swapped account numbers ) and seized the opportunity to hold the funds for a simple error without good intention."
1297,"XX/XX/2018 Added a XXXX recipient "" XXXX '' -- XXXX XXXX XXXX XX/XX/2018 TRANSFER TO XXXX XXXX REF # XXXX ( via XXXX ) {$240.00} -- email used was : XXXX XX/XX/2018 Amount not received by XXXX XX/XX/2018 Talked to Wells Fargo banker "" XXXX '' at XXXX XXXX Branch He noticed that XXXX had not registered for XXXX with her email yet. 
Sent instructions via email to XXXX on how to register with XXXX and asked her to do so. 

XX/XX/2018 XXXX still has not recived the {$240.00} in her account Added XXXX recipient "" XXXX '' -- XXXX XXXX ( XXXX 's husband ) TRANSFER TO XXXX XXXX ON XX/XX/XXXX REF # XXXX ( via XXXX ) -- email used was : XXXX XX/XX/2018 XXXX XXXX received the amount in their account ( same account as XXXX ) {$240.00} XX/XX/2018 Talked to Wells Fargo banker "" XXXX '' XXXX checked both of our accounts -- XXXX 's email was still NOT registered with XXXX -- XX/XX/18 Our account showed a payment of {$240.00} to XXXX -- XX/XX/18 Our account showed that the payment was delivered to some WF account ( not XXXX 's ) -- XX/XX/18 XXXX 's & XXXX 's account show NO payment received on XX/XX/18. 

-- XX/XX/18 XXXX 's & XXXX 's account show the payment ( {$240.00} ) received. 
( sent on XX/XX/XXXX ) XX/XX/2018 After almost 3 weeks of original XXXX payment, the amount that should have been returned to us within 10 days of No Delivery is still no where to be found. 


XX/XX/2018 XXXX claim case opened : XXXX XX/XX/2018 XXXX claim case closed : They claim the amount was successfully delivered and a token was successfully issued and there is nothing they can do now ( but they do not disclose to WHOM it was delivered ) The question is : If XXXX 's email is not registered with XXXX ( as Wells Fargo has verified ), then where did the original amount of {$240.00} go -- it was taken from our account but not received by the intended recipient ( both facts verified by Wells Fargo including the intended recipient 's email address, so no confusion about the email address either ), then where did it go and why are they not refunding us?? 

XXXX & XXXX have no other bank account. 
XXXX also called Wells Fargo & XXXX, but they could not help him either to track down the missing payment. 

XX/XX/XXXX -- XX/XX/XXXX Went back & forth with the Wells Fargo banker "" XXXX ''. 
He opened a new case : XXXX with their Executive Resolution Team, who took 2 weeks to look into this. 
In the end the case was closed because XXXX won't expose the account # the amount was deposited to. 
XXXX gave up and agreed we go through the Legal Route."
1298,"I received a check for amount of {$6000.00} from   XXXX   XXXX   XXXX   XXXX   XXXX   .   XXXX   XXXX  do their banking with   XXXX   XXXX  . Check was made to me (  XXXX   XXXX  ). So i signed back of check and ask my wife to deposit it, few days later i check my account and did not see a deposit posted yet so i asked my wife if she deposit the check. Finally we found out the she lost the check.     I contacted  XXXX   XXXX  ask them to stop the check and send me another check but they told me that the check has been cashed at : *Well s Fargo Bank in Arizona ( I live in Georgia ) *Cash ed o n  X/X/2016     *Routing # :  XXXX  *Seq # :  XXXX .      Teller w ho cashed the check, did not get any identification for check cashing and there is no information of who cashed the check.     I have talked to  XXXX   XXXX ,   XXXX   XXXX   and  Wells Fargo B ank several times but they have not help me so far. It is been almost 9 months and i have not helped yet. Please help me to solve this matter and get my {$6000.00} back Contact at  XXXX   XXXX  :  XXXX   XXXX   XXXX   XXXX    XXXX   XXXX   XXXX     XXXX   XXXX   XXXX   XXXX   XXXX , Ga.  XXXX   XXXX"
1299,"On XX/XX/2019, I was scammed twice using my Wells Fargo debit card. I used it once through XXXX XXXX for {$400.00} dollars and once again using my Wells Fargo debit card through XXXX for {$300.00}. I was trying both times to purchase XXXX  tickets and paid both times and never received the tickets! I contacted Wells Fargo and XXXX to file fraud charges and I received a letter from the bank saying they couldnt help me even though I told them it was a scam/fraud. I am really unhappy with this! I am a single mother of XXXX and I cant believe they cant help me get my money back or issue me a credit! Please help so this doesnt happy again to someone else!"
1300,The company in question is Wells Fargo and cash app. I was scammed for the purchase of a dog and I went to my bank and cash app to explain the situation. They both said there was nothing they could do after promising to help me with the situation.
1301,I was attempting to purchase tickets through XXXX. I am only XXXX and just opened account with Wells Fargo. I have never used XXXX and thought that it should be safe since it is on my Wells Fargo app and the bank must trust them. I did log in and transfered {$70.00} which I had in my account at the time. The app told me that it did NOT go through and to try again later. I went through the process again and it actually took both times. Wells Fargo allowed the transaction to post twice at {$70.00} and charged me an Overdraft charge of {$12.00}. I am out {$140.00} and of course I did not receive tickets and the phone number to the person that I thought would be giving me concert tickets is rejecting my calls. The only information I have on the recipient was a phone number and an email address. On my bank statement it shows the name XXXX XXXX. I went to my bank within 30 minutes and no one was able to help me. I have also sent numerous emails to XXXX complaining about this fraud and what happened to me. Neither XXXX nor Wells Fargo is willing to help me. I just started working this summer and am trying to save money for college. I can not afford to lose this much money. I asked Wells Fargo if they could help me with one of the {$70.00} charges but they said they are not able to help me. I hope you can help me with this situation. I would be happy if Wells Fargo would at the least refund me one charge of {$70.00}. I am really upset and have learned my lesson on not trusting anyone and to especially not deal with online sites that you do not know. I really thought that they would be reputable since Wells Fargo trusts them to be on their website and peoples accounts.
1303,"On XX/XX/2021, I send a international wire transfer to XXXX XXXX  XXXX, XXXX XXXX for {$1600.00} through my checking account with Wells Fargo, For a deposit of a rental on a room in XXXX XXXX XXXX Florida. After no contact with the supposed owner, I opened a fraud with calm on XX/XX/XXXX 17 days after the the wire transfer was sent. I called Wells Fargo again on XX/XX/2021 to check statue on my clam, I was told the clam investigation was still in progress. I called again on XX/XX/2021, got the same answer. I told the Wells Fargo rep to please have someone working on the investigation to contact me, I heard nothing. I received a letter from Wells Faro dated XX/XX/2021 stating they had completed there research, and that too much time had passed before I had contacted Wells Fargo about this fraud. 17 days from the day to the transaction to the claim filed on XX/XX/2021. 
I contacted Well Fargo on XX/XX/2021 at the number I was instructed to call if I had a problem with these findings. I got the usual runaround, transferred numerous times to my call being cut off by an automated system. Wells Fargo did NOTHING to help recover these funds that were transferred through their bank! I believe Wells Fargo believe If they give me the runaround, never answer my calls, numerous inquiries, I will just accept there excuse that I waited to long to report! That is not the case which is absolutely not TRUE! Wells Fargo did nothing to help me or solve this fraud."
1304,"I am afraid I have had to go through so much "" bureaucracy '' thus far in order to catch their attention to my concerns. This really doesn't show their complaints department in a good light, to say the least ; and certainly, does not contribute to my overall satisfaction and peace of mind. 
My complaint is against the bank that did not do its job properly ( could not prevent/foreseen fraud and could not conduct a proper investigation ) and not against the vulnerable customer who fell victim and lost all the savings due to the misconduct of the bank. 
I feel very distressed and cheated, all because no one took action immediately and practice their duty of care, therefore I only request what I believe to be rightfully mine, as all institutions were more than negligent in protecting my account and handling the complaints. I comprehensively provided explanations and proof to my claim, even so, XXXX never acknowledge my complaint, therefore, I have approached you XXXX and I would like to receive your assistance on this matter."
1305,"On XX/XX/2023, I received a text message from an unknown number notifying me of a fraud alert on my Wells Fargo account. I called Wells Fargo to speak to a representative and as I was on the line the same Wells Fargo number called me and the person on the line said they were a Wells Fargo representative from their fraud department. They told me that someone by the name of XXXX XXXX scheduled a transfer of {$500.00} from my XXXX account to their XXXX XXXX XXXXXXXX account and to reverse the scheduled transaction I had to create a new transaction by enrolling them into my XXXX account under my last name then again under the name "" Fraud '' and sending the scheduled amount of money to reverse the transaction."
1306,"On XX/XX/2018, I sent {$200.00} through my banks ( Wells Fargo ) mobile application XXXX for some sporting event tickets. The person I was buying the tickets from sent me his name and email and phone number. After transferring the money through XXXX. The person never sent me the tickets and stop answering my calls or emails. I went to Wells Fargo and they informed there was nothing they could do for me since I authorized it. They did tell me it went to someone's account at XXXX  XXXX XXXX. I went to XXXX XXXX  XXXX and they told me there's nothing they could do to help file a complaint because they have to protect there customers and since I'm not a customer of theirs. There's not much I could do but file a police report, which I did, and to call back XXXX XXXX XXXX customer support and file a claim.I did what i was told, I filed a police report i called XXXX XXXX XXXX back and they were still not willing to file any type of claim or help me at all. They told me call XXXX and see if they could help me. XXXX was of no help either. There customer support is automated. You can't even speak to anyone in person."
1307,I was purchasing some concert tickets through XXXX  and the seller asked to use XXXX to transfer {$100.00} for 2 tickets in which he would then email me the tickets. I figured that XXXX had the same protections as XXXX services. I transferred the {$100.00} and the individual never emailed the tickets or responded to text messages. I contacted Wells Fargo within 45 minutes of the transaction and they informed me they couldn't stop the transaction so I am now out {$100.00} and not attending the show.
1308,"I applied though XXXX for a job, and was offered to be a XXXX XXXX to a CEO. I was told my first task was to deposit a check for {$6200.00} and take the funds and disperse them to orphanage for a medical procedure. I did exactly what he asked cashed the check that was in my name, and send the money get money orders With the cash and send to the given address. I woke up to negative thousands of dollars in my account. I have called Wells Fargo to file. a claim immediately with police reports, emails, texts, the XXXX  application to show I was a victim of fraud/being stolen from. They would not even look at the police report, or talk to the detective, or look at my proof. They denied my claim and refused to give back the money that was stolen from me. The banks job is to put a hold on a check with large amounts of money, and idtenfiy a fraudulent check, They did not do that, They gave the cash right away without making sure the check would clear or was legit. I was truly under the impression I was hired to work as a remote assistant for someone and doing my job thinking this was for the greater good. I have emails, and job descriptions texts to show proof of this. I also filed police reports etc. This has impacted us greatly financially leaving us with our bank account drained."
1310,"On XX/XX/XXXX I used the XXXX app to send {$200.00} to my mother. Id used it before with no issues. My mother registered with XXXX so I added her as a contact. On the app, it said the money was sent to my mother and the transaction was completed. However, the last digit of her phone number was entered incorrectly, so the money was sent to someone else. 

I called Wells Fargo the same day to figure out why she didnt receive the money and they told me it was sent to an account with XXXX XXXX XXXX, which she does not have. When we realized the phone number was incorrect, I called Wells Fargo again to see what could be done. They filed a money movement claim, gave me a case ID number, and assured me they wanted to help me get my money back. 

However, on XX/XX/XXXX I got a letter stating the case was closed and there was nothing they could do. If Wells Fargo puts this service in their app to encourage customers to use it under the guise of it being safer than XXXX, why do they not protect the customers who use it? By offering it through their own app, they market it as something trustworthy and do not educate their customers about the potential risks or the fact that they can not help if something goes wrong. I expect my bank to protect me, especially when using one of its services ( the Wells Fargo App ), and instead am left wondering why they would partner up with a service that does not have customers best interests or safety in mind. 

Furthermore, the person who received my money must have also been a registered user already based on how quickly the money was transferred. ( It was not left pending, as it would have been if the user was not yet registered. ). Why didnt XXXX protect me and my money by checking that what I entered matched XXXX own records? They allow the contact to be saved with whatever name is entered by the sender. I feel like I was not informed that this was possible and assumed the information was correct because it saved with the right name. There is no step in place to protect the sender - even the confirmation step only shows the saved contacts name, not phone number, for final verification."
1311,"On XX/XX/2020, I received a call from Washington D.C. A  woman introduced herself from Immigration and Customs Enforcement ( government agency ) and notified me that I, as an XXXX XXXX, violated immigration law ( she said I failed to register my XXXX  number within 90 days of entry, which is not required at all ) and I would be deported immediately under the alleged criminal charge. She directed me to go to the ICE website and read some clauses that charge criminal charges against me. Also, there was another call from a man, allegedly from New York Sheriff Office, while I was talking to her, to tell me that my case was reported to his office. Both put me on hold on purpose and didn't let me talk to anyone because this conversation was allegedly confidential. I believe those were a team to corner and scare me into believing that this was real. 

After I felt threatened enough to believe that the call was legitimate, she gave me two choices to get away with criminal charges and stay in the U.S. : 1 ) I hand myself over to the police office and pay a huge amount of money ( I don't recall the amount ) or 2 ) I pay so called "" deposit bond '' until the case investigation is over and I have no charges. Or, she said I would be removed immediately. I chose the second one because that sounded more reasonable to me and I was so scared. I just wanted to get this done with investigation. 

She asked me to transfer money through XXXX on Wells Fargo. Throughout the whole process, she monitored my activity via remote access program on my laptop and cell phone to prevent me from doing anything out of ordinary. But because the first transaction via XXXX allowed up to {$500.00}, I sent {$500.00} to an alleged email address of Attorney General and then received a text that {$500.00} failed to come through, which turned out to be fake. She said XXXX didn't work and asked me to use wire transfer alternatively. This time, I was told to transfer {$5000.00} of deposit bond to outside the U.S. She also added that since my credit card and bank account would be frozen during the investigation, a Treasury officer would be visiting  my place to give me a temporary check. I transferred {$5000.00} and she kept me waiting on and on until the transaction is complete. At that point, I realized something was weird and talked to my roommate about the call. 

I borrowed my roommate 's phone to report the phone scam to Wells Fargo right away. I reported XXXX transaction XXXX XXXX and wire transfer ), but a banker said the XXXX transaction is not their responsibility and it usually takes 5 business days for investigation. 5 business days later, I contacted the bank again. This time, another banker said I can also file a claim regarding the XXXX transaction and investigation takes up to 10 business days. I patiently waited until I received two letters from the bank that denied the refund of total {$5500.00}, as opposed to what they told me, in most of cases, money is refunded. 

The first letter indicated that a wire transfer of {$5000.00} is not refundable because the receiving bank will not return the money. The case was closed. The second letter mentioned that because the transaction was made by me through a secure online banking session, the bank declines my claim. The case was closed. 

In short, the bank didn't return any amount of {$5500.00}, not to mention that it didn't get any clue of scammers."
1316,"I used the XXXX money transfer app because it was advertised in my Wells Fargo app so I trusted to use it to transfer money over in exchange for tickets that I was trying to purchase on XX/XX/2018. However, I did not know there was no protection from scammers or any kind of fraudulent activity. When the person never meet with me to transfer the tickets I realized I had been scammed and reached out to XXXX and Wells Fargo, my bank. You can imagine my surprise when I found out there was nothing they would do. I filed a claim with Wells Fargo and once it was denied, even after the associate I talked to initially made it seem like there would be no problem getting refunded, I contacted them again. They said there was nothing they would do because they don't cover that and to contact XXXX. I told them I already had and that they wouldn't do anything to protect the user. Since Wells Fargo owns XXXX, I thought it was interesting that there was "" nothing that they can do ''. As a member of the bank for years I believe I should be protected against scams and fraudulent activity that I was victim to in this situation."
1317,On XX/XX/19 some opened up a bank account in my company name and intercepted a wire that was meant for my company in the amount of {$5200.00}
1318,"On XX/XX/2021 I received a text from what I thought was an automated fraud alert ( XXXX ) XXXX in regards to someone attempting to hack my bank account. While reading the message. I received a phone call from Wells Fargo fraud dept XXXX. The guy on the phone was "" alerting me '' that someone was trying to use my card at a XXXX in Texas. He then proceeded to say that I would need to reverse the funds as he began walking me through the process. He informed me that there were unusual transactions based in Texas. I did not approve neither one of them. He then asked about the XXXX  transaction and informed me that the scammers were trying to drain my account using XXXX. He said that in order to reverse the transaction. I needed to send the money to myself, so that it would not be approved. It was an odd request/protocol, but he reminded me that he was calling from Wells Fargo and he gave me his badge number ( XXXX ) told me that the number should match the back of my debit card. And to my surprise, it did and so I believed him. 

I then added myself as a XXXX recipient with MY NUMBER and MY NAME and transferred {$1000.00} from my Checking account to MY SELF! Immediately after doing so, I heard a cell phone notification in the background. That's when I hung the phone up. I immediately called Wells Fargo fraud number ( XXXX ) AGAIN. The lady that answered was soo rude and made matters worse for me. I attempted to call them again, hoping to get someone else on the phone. 

Everything happened so quick. I'm not sure if its an inside job or not. But the scammer was REALLY GOOD AND BELIEVABLE! 

- I have copies of the phone number that called me -I have the phone number that text me ( fraud alert ) -I have the copy of the XXXX transaction to MYSELF -I have an email of the account/banking institution that the funds went to and the name on the account"
1319,"These two charges appeared on my account as pending one was for {$150.00} and the other was for {$500.00}. I contacted the Fraud Department immediately upon noticing these two transactions pending on my account which were as follows : XX/XX/XXXX PURCHASE AUTHORIZED ON XX/XX/XXXX XXXX XXXX* XXXX XXXX XXXX CA XXXX XXXX  XXXX {$150.00} XX/XX/XXXX XXXX  TO XXXX XXXX ON XX/XX/XXXX REF # XXXX {$500.00} I was told by the Fraud Department I needed to change my account number and go into a branch. They would investigate and the money would be returned to my account as these transactions were not authorized or done by me. On XX/XX/XXXX, a final credit of {$150.00} was given to me but nothing on the {$500.00}. I called to see where my {$500.00} credit was prior to opening todays mail with a letter stating I made the transaction or someone who had my authorization did it and I was not going to receive my money. 
Please be advised I have had my account for approximately 29 years through XXXX then Wells Fargo. I recently put the Wells Fargo app on my cellphone only to get access codes for my XXXXyear-old son, XXXX, to withdraw money. At no point in time have I ever signed up for a XXXX account or know a XXXX XXXX. I am extremely upset as this is not chump change this is {$500.00} someone hacked into my account and fraudulently took money from me. I notified the FBI with regards to these transactions as well. I have since deleted the Wells Fargo app from my phone and am still awaiting my appointment with the XXXX store to review my cellphone. 
I would appreciate all your assistance in this matter and am willing to have prosecuted whoever hacked my account. All I want is {$500.00} to be credited back to my account."
1321,"On XX/XX/22 I received a text from a spoofed number who claimed to be my bank, Wells Fargo. Stating there was attempted payment through XXXX of {$3000.00}. I did not respond since I was unsure if it was real. A while later I get a call from Wells Fargo as I have them in my contacts. I pick up and a man by the name of XXXX XXXX confirms that there was {$3000.00} taken from my account through XXXX. He then directs me on how to get it back by going on my Wells Fargo app and XXXX myself the money back. I input my full name and phone number and first sent {$500.00}, {$2000.00}, {$1000.00}, and finally {$500.00} for a total of {$4000.00}. When the app notified me that I have hit my transfer limit he said he will call back in a month to make sure I received my money. I did not authorize my money to be sent to someone else, I was scammed into thinking it was going to myself. I open a claim with Wells Fargo and have called multiple times to no success. They state that although this has happened multiple times to other people with their bank that they can not help. This has happened for years, two women even took to the media and after that Wells Fargo decided to give them their money back."
1322,"On XX/XX/2021, I purchased an item on XXXX XXXX. I sent my payment through XXXX in the amount of {$300.00}. The recipient is XXXX. 

The next day, I realized that it was a scam since the shipping number was not working and the seller is no longer responsive - I never received the item until now. I reported this incident to the Federal Trade Commission, and to my bank, Wells Fargo and asked if they could stop or reverse the transfer. I also asked if they could contact XXXX 's bank to report his fraudulent activity ( ies ). 

I received a letter from my bank today and they are saying that since I authorized the transaction I am not eligible for a claim."
1324,On XX/XX/2020 I did express send with an amount of {$650.00} to a family member to the bank XXXX in XXXX. But on their end is showing that their was no money sent to the account.
